"","x","y","key","Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"1",186.83,349.71,"sntl_308","Baker Butte",308,"Arizona","SNOTEL","Gila",7300,34.4566,-111.40643,150602030206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.3,86,86,99,116,80,62,64,0.6,60,17,25,"",5,5,4.35,3.7,0,13.8,"2006, 2015, 2018, more","2010",41
"2",187.24,349.8,"sntl_1140","Baker Butte Smt",1140,"Arizona","SNOTEL","Coconino",7700,34.45547,-111.38272,150602030103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.4,NA,NA,99,97,NA,65,65,-0.3,45,7,5,"",NA,NA,8.45,8.7,1.6,19.6,"2018","2010",12
"3",218.79,365.15,"sntl_310","Baldy",310,"Arizona","SNOTEL","Apache",9125,33.97883,-109.50344,150200010203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,1,1,2,2,5,1,1,-6.1,5,39,3,"",6.9,7.2,6.23,6.2,0,14.3,"2000, 2006","1985",41
"4",184.78,340.42,"sntl_1212","Bar M",1212,"Arizona","SNOTEL","Coconino",6393,34.86136,-111.60503,150602020601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.4,NA,NA,227,480,62,75,64,1.9,88,2,8,"2nd Highest",NA,NA,1.06,0.5,0,3.6,"2015, 2018, 2020, more","2016",9
"5",223.01,372.07,"sntl_902","Beaver Head",902,"Arizona","SNOTEL","Greenlee",7990,33.69144,-109.21657,150601010107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0,0,0,0,0,0,0,0,-1.9,15,23,1,"Lowest",4.3,3.5,2.48,1.9,0,10.5,"2017, 2018, 2021, more","2010",27
"6",233.72,315.5,"sntl_1143","Beaver Spring",1143,"Arizona","SNOTEL","Apache",9200,36.32678,-109.05711,140802040401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.8,NA,NA,56,55,NA,41,44,-3.05,18,10,3,"",NA,NA,6.79,6.85,0.2,12.5,"2018","2010",12
"7",178.28,330.45,"sntl_1139","Chalender",1139,"Arizona","SNOTEL","Coconino",7100,35.26247,-112.06231,150602020305,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.2,NA,NA,82,94,NA,57,67,-0.15,45,7,6,"",NA,NA,2.68,2.35,0,9.2,"2015, 2018","2010",12
"8",224.48,369.8,"sntl_416","Coronado Trail",416,"Arizona","SNOTEL","Apache",8400,33.80392,-109.15282,150400040501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0,0,0,0,0,0,0,0,-2.4,30,29,1,"Lowest",3.8,2.9,2.92,2.4,0,11.1,"2017, 2018, 2021, more","2010",41
"9",183.81,331.26,"sntl_1121","Fort Valley",1121,"Arizona","SNOTEL","Coconino",7350,35.26806,-111.74486,150200150102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.1,NA,NA,92,183,38,36,46,0.5,83,3,11,"",NA,NA,1.2,0.6,0,9.3,"2015, 2018, 2020, more","2010",13
"10",181.39,335.17,"sntl_488","Fry",488,"Arizona","SNOTEL","Coconino",7200,35.07297,-111.84374,150602020501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5,78,83,83,85,96,62,64,-0.9,40,25,17,"",6.4,6,6.05,5.9,0,15.1,"1996, 2006","2010",41
"11",221.24,372.65,"sntl_511","Hannagan Meadows",511,"Arizona","SNOTEL","Greenlee",9020,33.65387,-109.30952,150601010107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.9,20,20,22,23,59,16,18,-6.4,7,38,4,"",9.7,9.4,8.78,8.3,0.5,20.1,"2000","1993",41
"12",187.75,343.46,"sntl_969","Happy Jack",969,"Arizona","SNOTEL","Coconino",7630,34.74598,-111.41207,150602020604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.9,70,87,77,95,81,54,58,-0.2,33,15,8,"",5.6,4.5,5.06,4.1,0,14.1,"2000, 2006","2010",22
"13",214.13,364.64,"sntl_1271","Hawley Lake",1271,"Arizona","SNOTEL","Apache",8300,33.97142,-109.76528,150601020106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5,NA,NA,58,47,94,41,41,-5.65,20,5,2,"2nd Lowest",NA,NA,8.67,10.65,2.2,12.2,"2018","2016",6
"14",219.41,366.5,"sntl_617","Maverick Fork",617,"Arizona","SNOTEL","Apache",9200,33.92121,-109.45881,150601010104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.2,14,15,16,17,71,12,13,-5.9,7,38,4,"",8.3,7.8,7.58,7.1,0,19.2,"2000, 2006","1993",41
"15",186.58,338.96,"sntl_640","Mormon Mountain",640,"Arizona","SNOTEL","Coconino",7500,34.94109,-111.51849,150200150201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4,70,91,80,100,73,53,61,0,50,21,21,"",5.7,4.4,5,4,0,16.9,"2006, 2015, 2018, more","2010",41
"16",186.84,338.37,"sntl_1125","Mormon Mtn Summit",1125,"Arizona","SNOTEL","Coconino",8500,34.96964,-111.50922,150200150202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.8,NA,NA,63,74,92,45,56,-1.7,33,9,5,"",NA,NA,7.64,6.5,1.3,19.6,"2018","2010",13
"17",224.72,367.77,"sntl_1127","Nutrioso",1127,"Arizona","SNOTEL","Apache",8500,33.89747,-109.15517,150400040301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0,NA,NA,0,NA,0,0,0,0,58,6,1,"Lowest",NA,NA,0.52,0,0,5.1,"2018, 2019, 2021, more","2010",13
"18",193.47,352.73,"sntl_705","Promontory",705,"Arizona","SNOTEL","Coconino",7930,34.36824,-111.01084,150200080306,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.1,64,66,70,76,88,47,48,-1.9,34,26,13,"",9.6,9.3,8.77,8,0,24.1,"2000, 2006, 2015","1985",39
"19",185.71,329.95,"sntl_927","Snowslide Canyon",927,"Arizona","SNOTEL","Coconino",9730,35.3416,-111.65058,150200160201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.2,67,88,79,95,99,53,61,-0.5,39,15,10,"",15.2,11.6,12.95,10.7,2.8,30.6,"2018","2005",24
"20",176.33,332.79,"sntl_861","White Horse Lake",861,"Arizona","SNOTEL","Coconino",7180,35.14202,-112.14915,150602020204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.7,64,59,75,90,60,47,56,-0.3,48,22,20,"",4.2,4.6,3.61,3,0,12.8,"2014, 2015, 2018, more","1985",41
"21",218.53,369.96,"sntl_866","Wildcat",866,"Arizona","SNOTEL","Greenlee",7850,33.75835,-109.47973,150601010109,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0,0,0,0,0,0,0,0,-3,19,30,1,"Lowest",3.6,3.3,3,3,0,9.5,"2015, 2018, 2021, more","1985",37
"22",193.21,364.96,"sntl_877","Workman Creek",877,"Arizona","SNOTEL","Gila",6900,33.81242,-110.91773,150601030802,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.9,34,33,39,40,37,25,27,-2.9,35,27,15,"",5.6,5.8,4.92,4.8,0,16.6,"2014, 2015, 2018, more","2010",41
"23",61.94,171.59,"sntl_301","Adin Mtn",301,"California","SNOTEL","Modoc",6190,41.23583,-120.79192,180200021403,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,89,96,95,100,100,66,71,0,50,19,18,"",10.1,9.4,9.48,9,0,17.9,"2015","1995",37
"24",61.25,230.77,"sntl_356","Blue Lakes",356,"California","SNOTEL","Alpine",8067,38.608,-119.92437,180400120101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.1,76,76,78,81,100,47,50,-3.5,35,27,15,"",20,19.8,19.31,18.6,4.5,40.8,"1991","2017",41
"25",62.35,228.54,"sntl_1051","Burnside Lake",1051,"California","SNOTEL","Alpine",8129,38.71943,-119.8942,160502010107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.6,73,65,78,73,100,50,55,-5.1,35,12,7,"",18.6,20.8,17.38,18.7,5.2,40.2,"2012","2017",18
"26",60.44,228.65,"sntl_1067","Carson Pass",1067,"California","SNOTEL","Alpine",8360,38.6927,-120.0022,180201290101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.2,71,75,78,71,100,46,54,-6.5,44,10,7,"",22.7,21.5,20.81,22.7,7.9,40.6,"2012","2017",17
"27",71.53,166.3,"sntl_391","Cedar Pass",391,"California","SNOTEL","Modoc",7030,41.58233,-120.3025,180200020603,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.3,80,82,85,84,100,53,51,-2,38,27,17,"",12.8,12.5,12.07,12.3,3.4,22.9,"2015","1998",43
"28",66.26,157.89,"sntl_977","Crowder Flat",977,"California","SNOTEL","Modoc",5170,41.89318,-120.75202,180102040103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.1,26,26,37,37,65,25,24,-1.9,33,15,7,"",4.3,4.3,2.98,3,0,7.6,"2014, 2015, 2018, more","2008",22
"29",58,213.72,"sntl_428","Css Lab",428,"California","SNOTEL","Nevada",6894,39.32565,-120.36807,180201250602,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23,91,90,96,93,100,61,61,-1.8,43,22,17,"",25.2,25.6,23.96,24.8,4,50.6,"2018","2017",38
"30",75.68,158.16,"sntl_446","Dismal Swamp",446,"California","SNOTEL","Modoc",7360,41.99127,-120.18033,171200070304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.6,83,87,85,89,100,53,53,-2.1,43,24,17,"",20,19.1,19.47,18.7,6.4,31.2,"2014","2006",41
"31",62.88,232.51,"sntl_462","Ebbetts Pass",462,"California","SNOTEL","Alpine",8661,38.5497,-119.80468,160502010104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.5,81,83,82,92,100,50,56,-1.8,40,26,18,"",24,23.4,23.91,21.3,5,61.9,"1991","2017",43
"32",60.04,225.02,"sntl_463","Echo Peak",463,"California","SNOTEL","El Dorado",7653,38.849,-120.0795,160501010303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23.6,81,83,84,93,100,55,58,-1.7,43,24,18,"",29.1,28.4,28.26,25.3,6,58.2,"2012","2017",41
"33",60.91,223.33,"sntl_473","Fallen Leaf",473,"California","SNOTEL","El Dorado",6242,38.93403,-120.0545,160501010401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7,119,119,120,122,100,85,100,1.25,62,16,24,"",5.9,5.9,5.83,5.75,0,14.5,"2007, 2015, 2018","1993",40
"34",61.08,229.05,"sntl_1049","Forestdale Creek",1049,"California","SNOTEL","Alpine",8017,38.68245,-119.9597,160502010301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.3,73,73,81,79,100,50,54,-4.75,35,12,7,"",25,24.9,22.71,23.05,6.9,45.5,"2012","2017",18
"35",61.76,183.92,"sntl_1277","Fredonyer Peak",1277,"California","SNOTEL","Lassen",7208,40.68799,-120.60805,180800030304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,NA,NA,88,100,98,47,47,0,50,3,3,"",NA,NA,7.08,6.2,1.7,11.6,"2018","2017",5
"36",62.37,225.56,"sntl_508","Hagans Meadow",508,"California","SNOTEL","El Dorado",7742,38.8519,-119.9374,160501010302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.6,103,102,107,111,100,70,74,1.2,57,19,24,"",12.2,12.3,11.75,11.4,0.9,30.3,"2018","2017",43
"37",63.1,224.11,"sntl_518","Heavenly Valley",518,"California","SNOTEL","El Dorado",8534,38.92431,-119.91641,160501010302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.7,70,76,72,81,100,44,49,-2.9,36,28,15,"",18.1,16.7,17.62,15.6,5.8,40.5,"1991","2017",43
"38",63.1,226.09,"sntl_1050","Horse Meadow",1050,"California","SNOTEL","Alpine",8557,38.83652,-119.88732,160502010302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.5,68,71,78,87,100,51,56,-1.75,41,11,7,"",16.9,16.1,14.81,13.25,4.7,35.9,"2012","2017",18
"39",59.9,211.35,"sntl_539","Independence Camp",539,"California","SNOTEL","Sierra",6980,39.45269,-120.29367,160501020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.1,92,103,102,115,100,62,67,1.6,62,17,26,"",13.2,11.8,11.88,10.5,1.1,28.1,"2015","1983",43
"40",60.29,210.61,"sntl_540","Independence Creek",540,"California","SNOTEL","Sierra",6436,39.49001,-120.28226,160501020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.9,68,68,74,82,100,47,48,-1.5,40,25,17,"",10.2,10.2,9.27,8.4,0.4,17.4,"2014","1983",41
"41",59.45,211.8,"sntl_541","Independence Lake",541,"California","SNOTEL","Nevada",8338,39.42752,-120.31342,160501020104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.7,71,71,74,79,100,43,44,-5.1,38,27,17,"",27.6,27.6,26.66,24.8,4.5,58.6,"1991","2017",43
"42",64.54,239.11,"sntl_574","Leavitt Lake",574,"California","SNOTEL","Mono",9604,38.27594,-119.61281,160503020104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",24.9,64,63,67,68,100,40,43,-11.9,35,21,12,"",38.9,39.3,37.13,36.8,4.7,81.1,"1991","2017",32
"43",65.7,238.78,"sntl_575","Leavitt Meadows",575,"California","SNOTEL","Mono",7198,38.30367,-119.55111,160503020104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.3,88,103,91,109,100,60,67,0.6,55,19,23,"",8.3,7.1,8,6.7,0,20.3,"1991, 2015, 2018","1983",41
"44",69.45,236.71,"sntl_587","Lobdell Lake",587,"California","SNOTEL","Mono",9249,38.43745,-119.36572,160503020201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.4,64,74,66,75,100,40,44,-2.5,33,29,15,"",11.5,10,11.16,9.9,2.6,27.7,"2007","1997",43
"45",66.72,230.81,"sntl_633","Monitor Pass",633,"California","SNOTEL","Alpine",8306,38.6683,-119.6087,160502010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.3,85,81,87,85,100,55,60,-1.7,40,19,13,"",11,11.5,10.75,11,3.3,24.2,"1991","2017",31
"46",65.56,234.18,"sntl_697","Poison Flat",697,"California","SNOTEL","Alpine",7736,38.50576,-119.62624,160502010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.2,97,95,95,100,100,58,63,0,50,21,20,"",11.6,11.8,11.79,11.2,2.5,25.2,"2018","2017",41
"47",60.03,221.62,"sntl_724","Rubicon #2",724,"California","SNOTEL","El Dorado",7619,38.99927,-120.13139,160501010402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.3,79,81,83,85,100,49,54,-2.5,45,23,19,"",18.1,17.6,17.15,16.8,1.6,40.5,"2018","2017",41
"48",64.93,238.43,"sntl_771","Sonora Pass",771,"California","SNOTEL","Mono",8770,38.31021,-119.6003,160503020104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.9,70,75,73,75,100,43,46,-3.9,36,28,16,"",17.1,15.8,16.37,15.8,2.9,35.4,"1991","2017",43
"49",63.31,229.99,"sntl_778","Spratt Creek",778,"California","SNOTEL","Alpine",6063,38.66627,-119.81741,160502010107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6,125,146,132,146,100,87,109,1.9,73,12,30,"",4.8,4.1,4.55,4.1,0,15.8,"1991, 2015, 2018, more","1983",41
"50",58.9,217.03,"sntl_784","Squaw Valley G.C.",784,"California","SNOTEL","Placer",8013,39.18986,-120.26576,160501020202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.9,51,54,55,60,100,34,38,-12.7,22,32,10,"",37.2,34.8,34.38,31.6,7.7,83.3,"1991","1997",41
"51",67.35,156.08,"sntl_1258","State Line",1258,"California","SNOTEL","Modoc",5680,41.98609,-120.71574,180102040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.6,NA,NA,90,82,100,52,53,-0.8,33,5,3,"",NA,NA,4.01,4.4,0,7.6,"2015, 2018","2016",7
"52",66.47,236.85,"sntl_1052","Summit Meadow",1052,"California","SNOTEL","Alpine",9313,38.39747,-119.53522,160503020203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10,62,63,69,73,100,39,48,-3.7,41,11,8,"",16.1,16,14.58,13.7,4.8,37.9,"2012","2017",18
"53",60.61,217.88,"sntl_809","Tahoe City Cross",809,"California","SNOTEL","Placer",6797,39.17162,-120.15362,160501010101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.1,62,60,68,66,100,47,50,-3.7,33,27,14,"",11.4,11.9,10.41,10.8,0,24.8,"2015, 2018","1983",40
